State,data_monthid,category,Million_Vehicle_Miles,area,monthid
georgia,201907,Urban_Arterial_201806,5508,urban,201806
maryland,201907,Urban_Arterial_201806,3609,urban,201806
north carolina,201907,Urban_Arterial_201806,5091,urban,201806
south carolina,201907,Urban_Arterial_201806,2104,urban,201806
virginia,201907,Urban_Arterial_201806,3957,urban,201806
west virginia,201907,Urban_Arterial_201806,636,urban,201806
illinois,201907,Urban_Arterial_201806,5826,urban,201806
indiana,201907,Urban_Arterial_201806,2721,urban,201806
iowa,201907,Urban_Arterial_201806,918,urban,201806
kansas,201907,Urban_Arterial_201806,995,urban,201806
michigan,201907,Urban_Arterial_201806,4584,urban,201806
minnesota,201907,Urban_Arterial_201806,2455,urban,201806
missouri,201907,Urban_Arterial_201806,2695,urban,201806
nebraska,201907,Urban_Arterial_201806,632,urban,201806
north dakota,201907,Urban_Arterial_201806,181,urban,201806
ohio,201907,Urban_Arterial_201806,5010,urban,201806
south dakota,201907,Urban_Arterial_201806,207,urban,201806
wisconsin,201907,Urban_Arterial_201806,2345,urban,201806
alabama,201907,Urban_Arterial_201806,2339,urban,201806
arkansas,201907,Urban_Arterial_201806,1237,urban,201806
kentucky,201907,Urban_Arterial_201806,1539,urban,201806
louisiana,201907,Urban_Arterial_201806,2284,urban,201806
mississippi,201907,Urban_Arterial_201806,1096,urban,201806
oklahoma,201907,Urban_Arterial_201806,1589,urban,201806
tennessee,201907,Urban_Arterial_201806,3723,urban,201806
texas,201907,Urban_Arterial_201806,13132,urban,201806
alaska,201907,Urban_Arterial_201806,198,urban,201806
arizona,201907,Urban_Arterial_201806,3512,urban,201806
california,201907,Urban_Arterial_201806,21562,urban,201806
colorado,201907,Urban_Arterial_201806,2413,urban,201806
hawaii,201907,Urban_Arterial_201806,459,urban,201806
idaho,201907,Urban_Arterial_201806,502,urban,201806
montana,201907,Urban_Arterial_201806,263,urban,201806
nevada,201907,Urban_Arterial_201806,1114,urban,201806
new mexico,201907,Urban_Arterial_201806,683,urban,201806
oregon,201907,Urban_Arterial_201806,1463,urban,201806
utah,201907,Urban_Arterial_201806,1392,urban,201806
washington,201907,Urban_Arterial_201806,3384,urban,201806
wyoming,201907,Urban_Arterial_201806,152,urban,201806
connecticut,201907,All_Arterial_201806,2749,all,201806
maine,201907,All_Arterial_201806,1309,all,201806
massachusetts,201907,All_Arterial_201806,5481,all,201806
new hampshire,201907,All_Arterial_201806,1237,all,201806
new jersey,201907,All_Arterial_201806,6476,all,201806
new york,201907,All_Arterial_201806,10601,all,201806
pennsylvania,201907,All_Arterial_201806,8882,all,201806
rhode island,201907,All_Arterial_201806,723,all,201806
vermont,201907,All_Arterial_201806,641,all,201806
delaware,201907,All_Arterial_201806,1017,all,201806
district of columbia,201907,All_Arterial_201806,345,all,201806
florida,201907,All_Arterial_201806,18551,all,201806
georgia,201907,All_Arterial_201806,10295,all,201806
maryland,201907,All_Arterial_201806,5260,all,201806
north carolina,201907,All_Arterial_201806,10487,all,201806
south carolina,201907,All_Arterial_201806,4889,all,201806
virginia,201907,All_Arterial_201806,7357,all,201806
west virginia,201907,All_Arterial_201806,1534,all,201806
illinois,201907,All_Arterial_201806,10302,all,201806
indiana,201907,All_Arterial_201806,6761,all,201806
iowa,201907,All_Arterial_201806,3033,all,201806
kansas,201907,All_Arterial_201806,2836,all,201806
michigan,201907,All_Arterial_201806,8415,all,201806
minnesota,201907,All_Arterial_201806,5424,all,201806
missouri,201907,All_Arterial_201806,6493,all,201806
nebraska,201907,All_Arterial_201806,1878,all,201806
north dakota,201907,All_Arterial_201806,897,all,201806
ohio,201907,All_Arterial_201806,10364,all,201806
south dakota,201907,All_Arterial_201806,934,all,201806
wisconsin,201907,All_Arterial_201806,6009,all,201806
alabama,201907,All_Arterial_201806,6376,all,201806
arkansas,201907,All_Arterial_201806,3263,all,201806
kentucky,201907,All_Arterial_201806,4404,all,201806
louisiana,201907,All_Arterial_201806,4480,all,201806
mississippi,201907,All_Arterial_201806,3734,all,201806
oklahoma,201907,All_Arterial_201806,4145,all,201806
tennessee,201907,All_Arterial_201806,7447,all,201806
texas,201907,All_Arterial_201806,23236,all,201806
alaska,201907,All_Arterial_201806,516,all,201806
arizona,201907,All_Arterial_201806,5921,all,201806
california,201907,All_Arterial_201806,30345,all,201806
colorado,201907,All_Arterial_201806,4384,all,201806
hawaii,201907,All_Arterial_201806,890,all,201806
idaho,201907,All_Arterial_201806,1605,all,201806
montana,201907,All_Arterial_201806,1300,all,201806
nevada,201907,All_Arterial_201806,2251,all,201806
new mexico,201907,All_Arterial_201806,2427,all,201806
oregon,201907,All_Arterial_201806,3318,all,201806
utah,201907,All_Arterial_201806,2712,all,201806
washington,201907,All_Arterial_201806,5758,all,201806
wyoming,201907,All_Arterial_201806,890,all,201806
connecticut,201901,Rural_Arterial_201712,125,rural,201712
maine,201901,Rural_Arterial_201712,435,rural,201712
massachusetts,201901,Rural_Arterial_201712,198,rural,201712
new hampshire,201901,Rural_Arterial_201712,261,rural,201712
new jersey,201901,Rural_Arterial_201712,249,rural,201712
new york,201901,Rural_Arterial_201712,1151,rural,201712
pennsylvania,201901,Rural_Arterial_201712,1922,rural,201712
rhode island,201901,Rural_Arterial_201712,51,rural,201712
vermont,201901,Rural_Arterial_201712,231,rural,201712
delaware,201901,Rural_Arterial_201712,109,rural,201712
district of columbia,201901,Rural_Arterial_201712,0,rural,201712
florida,201901,Rural_Arterial_201712,2071,rural,201712
georgia,201901,Rural_Arterial_201712,1598,rural,201712
maryland,201901,Rural_Arterial_201712,506,rural,201712
north carolina,201901,Rural_Arterial_201712,1763,rural,201712
south carolina,201901,Rural_Arterial_201712,1380,rural,201712
virginia,201901,Rural_Arterial_201712,1748,rural,201712
west virginia,201901,Rural_Arterial_201712,485,rural,201712
illinois,201901,Rural_Arterial_201712,1344,rural,201712
indiana,201901,Rural_Arterial_201712,1308,rural,201712
iowa,201901,Rural_Arterial_201712,1112,rural,201712
kansas,201901,Rural_Arterial_201712,909,rural,201712
michigan,201901,Rural_Arterial_201712,1559,rural,201712
minnesota,201901,Rural_Arterial_201712,1253,rural,201712
missouri,201901,Rural_Arterial_201712,1497,rural,201712
nebraska,201901,Rural_Arterial_201712,695,rural,201712
north dakota,201901,Rural_Arterial_201712,344,rural,201712
ohio,201901,Rural_Arterial_201712,1655,rural,201712
south dakota,201901,Rural_Arterial_201712,385,rural,201712
wisconsin,201901,Rural_Arterial_201712,1565,rural,201712
alabama,201901,Rural_Arterial_201712,1269,rural,201712
arkansas,201901,Rural_Arterial_201712,977,rural,201712
kentucky,201901,Rural_Arterial_201712,1374,rural,201712
louisiana,201901,Rural_Arterial_201712,969,rural,201712
mississippi,201901,Rural_Arterial_201712,989,rural,201712
oklahoma,201901,Rural_Arterial_201712,986,rural,201712
tennessee,201901,Rural_Arterial_201712,1413,rural,201712
texas,201901,Rural_Arterial_201712,4226,rural,201712
alaska,201901,Rural_Arterial_201712,88,rural,201712
arizona,201901,Rural_Arterial_201712,995,rural,201712
california,201901,Rural_Arterial_201712,3887,rural,201712
colorado,201901,Rural_Arterial_201712,885,rural,201712
hawaii,201901,Rural_Arterial_201712,60,rural,201712
idaho,201901,Rural_Arterial_201712,457,rural,201712
montana,201901,Rural_Arterial_201712,467,rural,201712
nevada,201901,Rural_Arterial_201712,348,rural,201712
new mexico,201901,Rural_Arterial_201712,793,rural,201712
oregon,201901,Rural_Arterial_201712,789,rural,201712
utah,201901,Rural_Arterial_201712,465,rural,201712
washington,201901,Rural_Arterial_201712,840,rural,201712
